Product,Regular price,Sale price,Category_1,Category_2,Category_3,Category_4,Category_5,Category_6,Energy (kcal),Carbohydrates,Sugars,Added sugars,Fats,Saturated fats,Unsaturated fats,Protein,Fiber,Salt
Red Band Schatkistjes 2-pack,5.18,NA,"Snoep, chocolade, koek",Trakteren,Uitdeelzakjes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Varta Hearing aid batteries 10,4.29,NA,"Koken, tafelen, vrije tijd",Kantoorartikelen,Batterij,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Varta Hearing aid batteries 312,4.29,NA,"Koken, tafelen, vrije tijd",Kantoorartikelen,Batterij,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Varta Hearing aid batteries 675,4.29,NA,"Koken, tafelen, vrije tijd",Kantoorartikelen,Batterij,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Duracell Plus AAA,10.99,NA,"Koken, tafelen, vrije tijd",Kantoorartikelen,Batterij,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Philips Led fil kaars E14 40W helder,9.49,NA,"Koken, tafelen, vrije tijd","Wonen, slapen",Lampen,Ledlampen,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Philips Led fil standaard E27 40W helder,10.49,NA,"Koken, tafelen, vrije tijd","Wonen, slapen",Lampen,Ledlampen,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Philips Led fil standaard E27 60W helder,12.59,NA,"Koken, tafelen, vrije tijd","Wonen, slapen",Lampen,Ledlampen,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Duracell Rechargeable plus AA,14.99,NA,"Koken, tafelen, vrije tijd",Elektronica,Batterijen,Oplaadbare batterij,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Duracell Plus AA,10.99,NA,"Koken, tafelen, vrije tijd",Kantoorartikelen,Batterij,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Johnny Cashew Gebrand gezouten,2.99,NA,"Chips, noten, toast, popcorn",Noten,Cashewnoten,NA,NA,NA,611,26.6,5,NA,47.8,8.5,NA,16.8,3.3,0.7
PostNL Decemberzegels 2023,19.2,NA,"Koken, tafelen, vrije tijd","Postzegels, donaties",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Johnny Cashew Honing zeezout,3.29,NA,"Chips, noten, toast, popcorn",Noten,Cashewnoten,NA,NA,NA,542,47.3,29.9,NA,33.7,5.7,NA,13,2.9,0.9
Johnny Cashew Hot chili,3.29,NA,"Chips, noten, toast, popcorn",Noten,Cashewnoten,NA,NA,NA,591,24.8,7.8,NA,45.7,7.8,NA,18.2,3.7,1.5
Elephant Pretzels zeezout,2.39,NA,"Chips, noten, toast, popcorn",Zoutjes,Pretzels,NA,NA,NA,416,72,6.6,NA,9.2,0.8,NA,9,NA,2.8
Love Raw Cream wafer bar milk choc,4.99,NA,"Snoep, chocolade, koek",Chocolade,Candybars,Candybars multipack,NA,NA,547,53,42,NA,34,17,NA,5.4,NA,0.2
Lindt Mini pralinés thank you,7.49,NA,"Snoep, chocolade, koek",Chocolade,Bonbons en pralines,NA,NA,NA,526,54,47,NA,30,14,NA,7.3,NA,0.17
Dr. Oetker The good baker meat-free bolognese,4.49,NA,Diepvries,Diepvries pizza,Pizza (dunne bodem),NA,NA,NA,210,23,3.1,NA,7.2,2.8,NA,11,2.9,0.89
Dr. Oetker La mia pinsa rucola,3.99,NA,Diepvries,Diepvries pizza,Pizza (dunne bodem),NA,NA,NA,205,31,4,NA,5.5,2.1,NA,7.4,2,0.98
Innocent Immunity shot ginger & turmeric,2.19,NA,"Aardappel, groente, fruit",Koudgeperste sappen & smoothies,Groente shots (vers),NA,NA,NA,27,6.6,6.6,NA,0,0,NA,0,NA,0
Innocent Immunity shot ginger,2.19,NA,"Aardappel, groente, fruit",Koudgeperste sappen & smoothies,Groente shots (vers),NA,NA,NA,26,6.5,6.5,NA,0,0,NA,0,NA,0
Innocent Inner winner,3.69,NA,"Aardappel, groente, fruit",Koudgeperste sappen & smoothies,Multivruchtensap (vers),NA,NA,NA,41,9.6,8.4,NA,0,0,NA,0,1.5,0
Nivea Men fresh active deodorant spray,4.39,NA,Drogisterij,Lichaamsverzorging,Deodorant,Deodorant mannen,Deospray mannen,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nivea Men dry impact anti-transpirant spray,5.49,NA,Drogisterij,Lichaamsverzorging,Deodorant,Deodorant mannen,Deospray mannen,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nivea Dry comfort anti-transpirant spray,5.49,NA,Drogisterij,Lichaamsverzorging,Deodorant,Deodorant vrouwen,Deospray vrouwen,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sanex Active fresh 48h anti-transpirant rol,4.29,NA,Drogisterij,Lichaamsverzorging,Deodorant,Deodorant unisex,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sanex Total protect 48h anti-transpirant spray,5.49,NA,Drogisterij,Lichaamsverzorging,Deodorant,Deodorant unisex,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sanex Total protect 48h anti-transpirant rol,4.29,NA,Drogisterij,Lichaamsverzorging,Deodorant,Deodorant unisex,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dove Deodorant roller invisible dry,5.49,NA,Drogisterij,Lichaamsverzorging,Deodorant,Deodorant mannen,Deoroller mannen,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dove Anti-transpirant roller kokosnoot,5.49,NA,Drogisterij,Lichaamsverzorging,Deodorant,Deodorant vrouwen,Deoroller vrouwen,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rexona Anti-transpirant invisible aqua roller,4.99,NA,Drogisterij,Lichaamsverzorging,Deodorant,Deodorant vrouwen,Deoroller vrouwen,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AH Excellent Mini scharrel kipburgers,2.29,NA,"Vlees, vis",Gourmet,Gourmetmini's kip,NA,NA,NA,183,0.8,0.6,NA,12,3.7,7.7,17,1.9,1.1
AH Excellent Mini kipdijfiletlapjes mediterraans,2.29,NA,"Vlees, vis",Gourmet,Gourmetmini's kip,NA,NA,NA,148,1.1,0.7,NA,7.9,2.8,5.1,18,0.3,1.18
AH Terra Plantaardige groenteschnitzel,1.99,NA,"Vegetarisch, vegan en plantaardig",Vleesvervangers,Vegetarische schnitzel,NA,NA,NA,152,18,3.5,NA,5.5,0.5,5,4.7,5.7,0.83
Smuldier Lam met rijst,1.49,NA,Diepvries,Diepvries dierenvoeding,Diepvries hondenvoer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AA Drink Iso lemon tray,14.29,NA,"Frisdrank, sappen, siropen, water","Energy drink, sportdrank",Sportdranken,Sportdrank (in tray),NA,NA,33,7.9,7.9,NA,0,0,NA,0,NA,0.05
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AH Terra Plantaardige sojadrink,0.89,NA,"Vegetarisch, vegan en plantaardig",Plantaardige zuivel alternatieven,Plantaardige drinks,Sojadrink,NA,NA,39,2.5,2.5,NA,1.7,0.3,1.4,3,0.7,0.15
