Product,Regular price,Sale price,Category_1,Category_2,Category_3,Category_4,Category_5,Category_6,Energy (kcal),Carbohydrates,Sugars,Added sugars,Fats,Saturated fats,Unsaturated fats,Protein,Fiber,Salt
Galbani Mozzarella maxi,2.79,NA,"Kaas, vleeswaren, tapas",Kaas,Kaas voor borrel,"Mozzarella, burrata",Mozzarella,NA,238,2,1,NA,18,13,NA,17,NA,0.7
Kopke Fine white porto,10.79,NA,Wijn en bubbels,"Port, sherry en vermouth",Port,Witte port,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AH Biologisch Tempranillo,4.99,NA,Wijn en bubbels,Rode wijn,Fruitige rode wijn,Tempranillo (Fruitig),NA,NA,68,0.05,0.05,NA,0,0,0,0,0,NA
Haribo Tangfastics,2.19,NA,"Snoep, chocolade, koek",Snoep,Zachte snoep,Zure gums,NA,NA,346,80,50,NA,0,0.1,NA,6.6,NA,0.03
Zonnatura Maïswafels,0.95,NA,Tussendoortjes,Maiswafels,NA,NA,NA,NA,384,87,0.6,NA,0.7,0,NA,6.5,1.5,0.3
Warninks Advocaat scharreleieren,6.19,NA,Wijn en bubbels,Meer aperitieven,Advocaat,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AH BBQ hamburger,5.0,NA,"Vlees, vis",Rundvlees,Hamburgers,Hamburger (vers),NA,NA,238,2.1,0.3,NA,17,7.5,7.4,19,0.3,1.35
Hardys Crest rosé,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AH Luikse wafels chocolade,1.59,NA,"Snoep, chocolade, koek",Koek,"Stroopwafel, stroopkoek, wafels",Wafels,NA,NA,463,49,28,NA,27,13,14,5.1,1.8,0.65
AH Galettes wafels chocolade,2.29,NA,"Snoep, chocolade, koek",Koek,Koekjes met chocolade,NA,NA,NA,487,62,36,NA,23,12,11,7.2,1.8,0.88
Verkade Maria,1.69,NA,"Snoep, chocolade, koek",Koek,Biscuits,Theebiscuits,NA,NA,439,78.8,19.9,NA,10.2,4.9,NA,7,NA,1.1
Verkade San Francisco tarwe,1.99,NA,"Snoep, chocolade, koek",Koek,Biscuits,Theebiscuits,NA,NA,455,70.5,21.9,NA,14.9,6.8,NA,7.5,4,1.12
Verkade Knappertjes,1.79,NA,"Snoep, chocolade, koek",Koek,Biscuits,Theebiscuits,NA,NA,432,78.2,17.8,NA,9.2,4.1,NA,8.2,1.7,1.1
Verkade San Francisco volkoren,1.99,NA,"Snoep, chocolade, koek",Koek,Biscuits,Theebiscuits,NA,NA,446,66.2,22.3,NA,14.7,5.9,NA,8.9,6.4,1.41
Verkade Nizza kaneel,1.79,NA,"Snoep, chocolade, koek",Koek,Biscuits,Theebiscuits,NA,NA,451,78.9,31.9,NA,12.2,6,NA,5.6,NA,0.6
Verkade Nizza kokos,1.79,NA,"Snoep, chocolade, koek",Koek,Biscuits,Theebiscuits,NA,NA,454,77.2,32,NA,13.1,6.8,NA,5.9,NA,0.7
Bonne Maman Les Petits muffins vanille,3.29,NA,"Snoep, chocolade, koek",Koek,Cake,Cakejes,NA,NA,465,52,33,NA,26,2.5,NA,5.2,1,0.58
Lotus Cake mini madeleine melk,2.15,NA,"Snoep, chocolade, koek",Koek,Kinderkoekje,NA,NA,NA,408,46,19,NA,22,7.3,NA,6.3,7.2,0.71
Céréal Purechocolade minder suikers,1.99,NA,"Snoep, chocolade, koek",Chocolade,Chocolade (suikerbewust),NA,NA,NA,450,44,2,NA,31,19,NA,6.2,17,0.06
Céréal Melk chocolade-hazelnoten minder suikers,1.99,NA,"Snoep, chocolade, koek",Chocolade,Chocolade (suikerbewust),NA,NA,NA,484,43,10,NA,34,17,NA,10,8,0.26
Consenza Rijstwafels zonder zout,1.29,NA,Tussendoortjes,Rijstwafels,NA,NA,NA,NA,385,83,0.5,NA,2.5,0.6,NA,8,3.5,0.01
Van Wijngaarden's Zaanse tomaten ketchup natriumarm,1.65,NA,NA,NA,NA,NA,NA,NA,119,27.9,17.8,NA,0.1,0,NA,0.7,NA,0.1
Van Wijngaarden's Zaanse mayonaise natriumarm,2.25,NA,"Soepen, sauzen, kruiden, olie",Sauzen,"Snacksauzen, mayonaise",Mayonaise,Mayonaise (natriumarm),NA,745,3.1,2.8,NA,79.3,6.7,NA,1.8,NA,0.1
Céréal Hagelslag puur minder suikers,2.99,NA,Ontbijtgranen en beleg,Zoet broodbeleg,Strooisels,Hagelslag (suikerbewust),NA,NA,388,56,7.7,NA,19,12,NA,8.8,10,0.28
Céréal Hagelslag melk minder suikers,2.99,NA,Ontbijtgranen en beleg,Zoet broodbeleg,Strooisels,Hagelslag (suikerbewust),NA,NA,417,62,14.5,NA,22,14,NA,7.7,4.4,0.11
Maître Mathis Crisp chocolate vegan lactose free,2.09,NA,"Snoep, chocolade, koek",Chocolade,Lactosevrije chocolade,NA,NA,NA,526,51,37,NA,32,19,NA,2.1,12.4,0.19
Flow,9.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Del Monte Halve abrikozen op lichte siroop,2.59,NA,"Aardappel, groente, fruit",Fruit,"Abrikozen, pruimen",Abrikozen,Abrikozen (conserven),NA,58,13,12,NA,0,0,NA,0.4,1.3,0.04
AH Augurken plakjes zoetzuur,1.69,NA,"Soepen, sauzen, kruiden, olie",Conserven,Groenteconserven,"Augurken, uitjes",Augurken,NA,30,5.4,5.4,NA,0.2,0.1,0.1,0.6,0.9,0.7
Del Monte Ananas blokjes op sap,2.59,NA,"Soepen, sauzen, kruiden, olie",Conserven,Fruitconserven,Ananas (conserven),NA,NA,63,14,12,NA,0,0,NA,0.4,0.6,0
AH Biologisch Kikkererwten 0% zout toegevoegd,1.45,NA,"Aardappel, groente, fruit",Groente,"Sperziebonen, snijbonen en peulvruchten",Kikkererwten,NA,NA,120,14,0.4,NA,2.7,0.4,2.3,6.5,7,0.03
AH Biologisch Kidneybonen,1.49,NA,"Aardappel, groente, fruit",Groente,"Sperziebonen, snijbonen en peulvruchten",Kidney bonen,NA,NA,108,15,1.8,NA,0.4,0.1,0.2,7.7,7,0
AH Gerookte zalmsnippers,7.49,NA,"Vlees, vis",Vis,Verse vis,Zalm (vers),Verse zalm - stukjes,NA,207,0.3,0,NA,14,2.4,11,20,0,2.73
Grand' Italia Linguine all'uovo,2.69,NA,"Pasta, rijst en wereldkeuken","Pasta, rijst, noedels",Pasta,"Spaghetti, linguine","Linguine, fettucine",NA,367,69,3,NA,3.4,1,NA,13,4,0.07
AH Clementine mandarijnsap,2.99,NA,"Frisdrank, sappen, siropen, water",Vruchtensappen en fruitdrank,Mandarijnensap & drank,NA,NA,NA,43,10,9.3,NA,0,0,0,0.7,0.1,0
Optimel Drinkyoghurt framboos,1.49,NA,"Zuivel, eieren, boter",Drinkyoghurt,NA,NA,NA,NA,31,3.7,NA,NA,0,0,NA,3.2,NA,0.11
Optimel Drinkyoghurt mango-passievrucht,1.49,NA,"Zuivel, eieren, boter",Drinkyoghurt,NA,NA,NA,NA,32,3.8,NA,NA,NA,NA,NA,3.2,NA,0.11
Douwe Egberts Ice macchiato ijskoffie,1.49,NA,"Zuivel, eieren, boter",Zuivel tussendoortjes (voor thuis en onderweg),IJskoffie,NA,NA,NA,85,10.3,9.1,NA,3.5,2.2,NA,3.1,0,0.24
Douwe Egberts Ice cappuccino ijskoffie,1.49,NA,"Zuivel, eieren, boter",Zuivel tussendoortjes (voor thuis en onderweg),IJskoffie,NA,NA,NA,58,8.5,7.5,NA,1.3,0.8,NA,3.2,0,0.21
Arla Biologisch halfvolle melk,1.79,NA,"Zuivel, eieren, boter",Melk,Halfvolle melk,NA,NA,NA,46,4.7,4.7,NA,1.5,1.1,NA,3.4,NA,0.12
Arla Biologisch karnemelk,1.59,NA,"Zuivel, eieren, boter",Melk,Karnemelk,NA,NA,NA,35,3.7,3.7,NA,0.5,0.4,NA,3.3,NA,0.11
AH Kruidenmix met zout aardappel mini jar,1.99,NA,"Soepen, sauzen, kruiden, olie",Kruiden,Aardappelkruiden,NA,NA,NA,240,52,19,NA,1.2,0.2,NA,4.2,2.4,34.68
Mora Kipkorn originals,3.59,NA,"Vlees, vis",Kip,Kipnuggets,Kipcorn (diepvries),NA,NA,348,19,0.5,NA,25,8.1,NA,11,0.9,1.5
Jacob's Creek Merlot,7.69,NA,Wijn en bubbels,Rode wijn,Soepele rode wijn,Merlot (Soepel),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Andrélon Anti roos shampoo,4.79,NA,Drogisterij,Haarverzorging,Shampoo,Anti-roos shampoo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Andrélon Classic shampoo perfecte krul,4.99,NA,Drogisterij,Haarverzorging,Shampoo,Shampoo voor gekruld haar,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Andrélon Classic shampoo iedere dag,4.59,NA,Drogisterij,Haarverzorging,Shampoo,Shampoo alle haartypes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Andrélon Classic shampoo langer fris,4.75,NA,Drogisterij,Haarverzorging,Shampoo,Shampoo alle haartypes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Andrélon Intense shampoo glans & care,6.89,NA,Drogisterij,Haarverzorging,Shampoo,Glans shampoo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Andrélon Perfecte krul control creme,4.49,NA,Drogisterij,Haarverzorging,Haarkuur & Haarmasker,Haarcreme,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Andrélon Shampoo glans,3.89,NA,Drogisterij,Haarverzorging,Shampoo,Shampoo alle haartypes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Andrélon Zomerblond shampoo,5.69,NA,Drogisterij,Haarverzorging,Shampoo,Shampoo gekleurd haar,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Taft Gellac us 4,5.79,NA,Drogisterij,Haarverzorging,Haarstyling,Gelspray,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Activia Yoghurt granen,2.99,NA,"Zuivel, eieren, boter",Zuivel tussendoortjes (voor thuis en onderweg),Health tussendoortjes,NA,NA,NA,93,11.9,10.5,NA,3.2,2.2,NA,3.3,1.8,0.13
AH Bakbacon,2.99,NA,"Kaas, vleeswaren, tapas",Vleeswaren,Vleeswaren voorverpakt,Spek en bacon plakken (voorverpakt),NA,NA,208,0,0,NA,16,6.6,9.3,16,0,2.9
AH Rundertartaar,3.49,NA,"Vlees, vis",Rundvlees,Tartaar,NA,NA,NA,170,0.5,0,NA,9.8,4.3,4.2,20,0,0.18
AH Rundertartaar,4.99,NA,"Vlees, vis",Rundvlees,Tartaar,NA,NA,NA,170,0.5,0,NA,9.8,4.3,4.2,20,0,0.18
AH Half-om-half gehakt,2.79,NA,"Vlees, vis",Varkensvlees,Gehakt (half-om-half),NA,NA,NA,228,0.9,0,NA,16,6.7,7.5,20,0,0.2
AH Half-om-half gehakt,7.19,NA,"Vlees, vis",Varkensvlees,Gehakt (half-om-half),NA,NA,NA,228,0.9,0,NA,16,6.7,7.5,20,0,0.2
Glade Sense & spray lavender navulling,5.29,NA,Huishouden,Toiletreinigers & verfrissers,Luchtverfrisser navullingen,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bavaria 0.0% Wit 6-pack,5.39,NA,Bier en aperitieven,Speciaalbier,Alcoholvrij speciaalbier 0.0,Wit & weizen 0.0,NA,NA,24,6.4,3.9,NA,0,0,NA,0.35,NA,0
Aviko Supercrunch originals Franse friet,2.65,NA,Diepvries,Diepvries aardappelproducten,Friet,NA,NA,NA,171,26,0.8,NA,6,0.7,NA,2.5,2.5,0.2
Aviko Franse frites,2.99,NA,Diepvries,Diepvries aardappelproducten,Friet,NA,NA,NA,150,23.5,0.4,NA,4.5,0.5,NA,2.5,2.7,0.1
Aviko Oma's smulfriet,2.85,NA,Diepvries,Diepvries aardappelproducten,Friet,NA,NA,NA,130,22,0.8,NA,3,0.4,NA,2.5,2.5,0.1
Aviko Pommes Frites,2.65,NA,Diepvries,Diepvries aardappelproducten,Friet,NA,NA,NA,130,20.5,0.4,NA,3.5,0.4,NA,2.5,2.5,0.1
Aviko Pommes frites,5.99,NA,Diepvries,Diepvries aardappelproducten,Friet,NA,NA,NA,130,20.5,0.4,NA,3.5,0.4,NA,2.5,2.5,0.1
AH Biologisch Iets kruimige aardappelen,2.55,NA,"Aardappel, groente, fruit",Aardappelen,Aardappel - ongeschild,Hele aardappel - iets kruimig,Aardappel iets kruimig - met schil,NA,88,19,1,NA,0,0,0,2,2,0
AH Watermeloen part,3.75,NA,"Aardappel, groente, fruit",Fruit,"Meloen, kokosnoot",Meloenen,Watermeloen,Watermeloen per stuk,35,8,8,NA,0,0,0,0.5,0.6,0
AH Hamburger 2 stuks,2.99,NA,"Vlees, vis",Rundvlees,Hamburgers,Hamburger (vers),NA,NA,281,2.6,0.6,NA,22,9.7,9.6,18,0.3,1.23
Knorr Wereldgerechten Chinese kantonese kip,5.45,NA,"Pasta, rijst en wereldkeuken","Maaltijdpakketten, mixen",Maaltijdpakketten,Chinees maaltijdpakket,NA,NA,350,68,7.9,NA,2.1,0.2,NA,11,2.9,4.4
Knorr Mix voor ovenpasta ham-kaas,1.79,NA,"Pasta, rijst en wereldkeuken",Hollandse keuken,Nederlandse mixen,NA,NA,NA,125,14,1.6,NA,5.1,1.6,NA,5.3,1.7,0.58
Kinder Surprise melk chocolade,3.35,NA,"Snoep, chocolade, koek",Trakteren,Candybars minis,NA,NA,NA,552,52.3,52.1,NA,34.2,22.6,NA,8.1,NA,0.323
AH Boemboe groene curry,1.19,NA,"Pasta, rijst en wereldkeuken",Oosterse keuken,Oosterse sauzen,Currypasta,NA,NA,135,11,1.5,NA,3.1,0.6,2.5,15,1.3,0.28
AH Boemboe nasi goreng,0.99,NA,"Pasta, rijst en wereldkeuken",Oosterse keuken,Indonesisch,Boemboe,NA,NA,145,19,1.4,NA,3.5,0.8,2.7,8.8,0.9,0.33
AH Boemboe rode curry,1.19,NA,"Pasta, rijst en wereldkeuken",Oosterse keuken,Oosterse sauzen,Currypasta,NA,NA,109,16,0.4,NA,2.2,0.6,1.6,5.7,1.4,0.63
AH Boemboe ajam smoor,1.19,NA,"Pasta, rijst en wereldkeuken",Oosterse keuken,Indonesisch,Boemboe,NA,NA,132,19,1.1,NA,2,0.3,1.6,9.3,0.5,0.18
AH Boemboe bami goreng,1.19,NA,"Pasta, rijst en wereldkeuken",Oosterse keuken,Indonesisch,Boemboe,NA,NA,124,16,1.9,NA,4.4,2.9,1.5,4.5,1.1,0.3
Conimex Boemboe nasi goreng,1.79,NA,"Pasta, rijst en wereldkeuken",Oosterse keuken,Indonesisch,Boemboe,NA,NA,113,16,1.4,NA,2.1,0.4,NA,6.6,0.9,0.35
Conimex Boemboe sajoer boontjes,1.79,NA,"Pasta, rijst en wereldkeuken",Oosterse keuken,Indonesisch,Boemboe,NA,NA,113,19,2,NA,2.7,0.5,NA,2.2,1.4,0.25
Conimex Rendang vlees boemboe,1.79,NA,"Pasta, rijst en wereldkeuken",Oosterse keuken,Indonesisch,Boemboe,NA,NA,123,17,1.1,NA,2.6,0.6,NA,8.3,0,0.28
Conimex Ajam paniki boemboe,1.79,NA,"Pasta, rijst en wereldkeuken",Oosterse keuken,Indonesisch,Boemboe,NA,NA,137,20,1.5,NA,2.9,0.3,NA,7.4,0,0.29
Conimex Ajam smoor boemboe,1.79,NA,"Pasta, rijst en wereldkeuken",Oosterse keuken,Indonesisch,Boemboe,NA,NA,136,20,1.4,NA,2.9,0.4,NA,7.4,0,0.28
LU Time Out granenbiscuits speculaas,2.19,NA,"Snoep, chocolade, koek",Koek,Biscuits,Granenbiscuits,NA,NA,493,67,28,NA,21,5.9,NA,6.9,3.1,0.93
Conimex Bami goreng boemboe,1.79,NA,"Pasta, rijst en wereldkeuken",Oosterse keuken,Indonesisch,Boemboe,NA,NA,123,15,2.2,NA,2.8,0.4,NA,9,1.7,0.53
AH Vastkokende aardappelen,6.99,NA,"Aardappel, groente, fruit",Aardappelen,Aardappel - ongeschild,Hele aardappel - vastkokend,Aardappel vastkokend - met schil,NA,88,19,1,NA,0,0,0,2,1.8,0
AH Varkensbraadworst,2.99,NA,"Vlees, vis",Varkensvlees,Worst (varkensvlees),NA,NA,NA,256,1.2,0.07,NA,19,7.2,9.9,20,0.07,1.3
AH Varkensbraadworst,1.99,NA,"Vlees, vis",Varkensvlees,Worst (varkensvlees),NA,NA,NA,256,1.2,0.07,NA,19,7.2,9.9,20,0.07,1.3
Pledge 5 in 1 laminaat,3.19,NA,Huishouden,Schoonmaakmiddelen,Vloer- en tapijtreiniger,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Unox Klassieke tomatensoep,4.49,NA,"Soepen, sauzen, kruiden, olie",Soepen,Soep (opwarmen),Soep in zak,Tomatensoep in zak,NA,48,5.4,3.7,NA,2,0.5,NA,1.6,1.2,0.58
Unox Heldere groentesoep,3.99,NA,"Soepen, sauzen, kruiden, olie",Soepen,Soep (opwarmen),Soep in zak,Groentesoep in zak,NA,22,2.9,0,NA,0,0.2,NA,1.2,0,0.67
Unox Heldere kippensoep,3.09,NA,"Soepen, sauzen, kruiden, olie",Soepen,Soep (opwarmen),Soep in zak,Kippensoep in zak,NA,36,3.6,0.6,NA,1.4,0.4,NA,1.9,0,0.66
AH Varkensbraadworst,6.45,NA,"Vlees, vis",Varkensvlees,Worst (varkensvlees),NA,NA,NA,256,1.2,0.07,NA,19,7.2,9.9,20,0.07,1.3
Arrogant Frog Lily Pad white Viognier,8.65,NA,Wijn en bubbels,Witte wijn,Witte wijn - Vol en droog,Viognier (Vol en droog),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Otonal Crianza,5.99,NA,Wijn en bubbels,Rode wijn,Stevige rode wijn,Tempranillo (Stevig),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AH Gekruide chickenwings voorgegaard,4.19,NA,"Vlees, vis",Kip,"Kippenvleugels, kluifjes",Kipvleugels,NA,NA,162,3.6,1.2,NA,8.6,3.1,5.5,17,0.9,1.28
AH Aardappelen voor de stamppot,1.59,NA,"Aardappel, groente, fruit",Aardappelen,Aardappel - geschild,Stamppot aardappelen,NA,NA,87,18,1.1,NA,0.3,0.1,NA,2.2,1.6,0.03
Jacob's Creek Cabernet sauvignon,7.69,NA,Wijn en bubbels,Rode wijn,Stevige rode wijn,Cabernet Sauvignon (Stevig),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Witte Reus Toiletblok kracht actief oceaan,3.29,NA,Huishouden,Schoonmaakmiddelen,Toiletreinigers,Toiletblokken,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Wasa Delicate thin crisp rosemary & salt,2.69,NA,Bakkerij,Crackers,Ontbijtcrackers,NA,NA,NA,394,65,3,NA,8,0.7,NA,11,10,2.5
Wasa Sandwich tomato & basil 3-pack,2.25,NA,Tussendoortjes,"Hartige biscuit, knackbrod",NA,NA,NA,NA,474,56.5,5,NA,22,8.5,NA,10,5,1.25
AH Avocado,1.39,NA,"Aardappel, groente, fruit",Groente,"Komkommer, tomaat, avocado",Avocado,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AH Bosui,0.92,NA,"Aardappel, groente, fruit",Groente,"Ui, prei en knoflook",Ui,Ui (vers),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AH Mexicaanse guacamole pakket,4.29,NA,"Aardappel, groente, fruit",Verspakket,Maaltijdpakketten (vers),Midden en Zuid Amerikaanse maaltijdpakketten (vers),NA,NA,124,3.4,1.5,NA,11,1.3,9,1.6,2.6,0
AH Poffertjes naturel,2.19,NA,"Salades, pizza, maaltijden","Pannenkoeken, poffertjes",Poffertjes,NA,NA,NA,278,30,6,NA,15,1.5,13,5.1,1.1,1.03
Tic tac Mint 2-pack,4.39,NA,"Snoep, chocolade, koek","Pepermunt, keelpastilles",Pepermunt,"Doosje, blikje pepermunt",NA,NA,397,97.5,94.5,NA,0.5,0.5,NA,0.1,NA,0.028
Dourthe Sauternes grands terroirs,9.09,NA,Wijn en bubbels,Witte wijn,Witte wijn (klein),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alpro Plantaardig variatie blauwe bosbes,2.69,NA,"Vegetarisch, vegan en plantaardig",Plantaardige zuivel alternatieven,Plantaardige yoghurt,Plantaardige yoghurt met smaak,NA,NA,70,8.2,7.9,NA,2.2,0.4,NA,3.7,1,0.15
AH Doosje met zomerfruit,1.99,NA,"Aardappel, groente, fruit",Diepvries fruit,Fruitmix - diepvries,NA,NA,NA,69,13,6.9,NA,0.3,0.04,0.2,1,5.2,0
AH Doosje met kersen,1.99,NA,"Aardappel, groente, fruit",Diepvries fruit,Kersen (diepvries),NA,NA,NA,73,15,15,NA,0.4,0.08,0.2,1.3,1.9,0
AH Doosje met blauwe bes framboos,2.59,NA,"Aardappel, groente, fruit",Diepvries fruit,Blauwe bessen (diepvries),NA,NA,NA,40,7.1,7.1,NA,0.3,0.1,0.2,0.8,2.6,0
Knorr Mix rundvleesjus,0.79,NA,"Pasta, rijst en wereldkeuken",Hollandse keuken,Jus,Jus rundvlees,NA,NA,136,3.2,0.7,NA,13,8.6,NA,0.9,0,0.73
Knorr Mix jus met uitjes,0.79,NA,"Pasta, rijst en wereldkeuken",Hollandse keuken,Jus,Jus uitjes,NA,NA,139,5,1.6,NA,13,8.3,NA,0.7,0,0.8
Knorr Saus voor asperges,1.39,NA,"Soepen, sauzen, kruiden, olie",Sauzen,Groentesaus,Aspergesaus,NA,NA,175,8.8,2,NA,15,9.7,NA,1.2,0,0.85
AH Mini stolletje,0.85,NA,Bakkerij,Zoete snacks,Stol & krans,NA,NA,NA,321,57,32,NA,5.9,1.2,4.6,7.6,3.6,0.7
AH Taaikorstjes,2.29,NA,Bakkerij,Zoete snacks,Verse koeken,NA,NA,NA,356,78,42,NA,2.7,0.3,2.3,3.3,3,1.03
AH Bitterkoeken,2.99,NA,Bakkerij,Gebak en taart,Stuks gebak,Gebakje (vers),NA,NA,395,61,61,NA,13,0.9,12,7.1,2.7,0.08
AH Stroopwafels,2.59,NA,Bakkerij,Zoete snacks,Verse koeken,NA,NA,NA,450,60,32,NA,21,14,7,3.5,3.5,0.68
Coyam Red Organic Wine,16.49,NA,Wijn en bubbels,Rode wijn,Stevige rode wijn,Syrah/Shiraz (Stevig),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AH Geroosterde salade pittenmix,1.49,NA,"Chips, noten, toast, popcorn",Noten,"Pitten, zaden en notengarnering",Pittenmix,NA,NA,624,9.5,2.2,NA,52,6.6,41,26,7.1,0.03
AH Naturel croutons ,0.69,NA,"Soepen, sauzen, kruiden, olie",Garnering,Slaversierders,Salade croutons,NA,NA,386,71,5.4,NA,4.9,0.8,3.7,12,5.1,1
AH Knoflook croutons,0.69,NA,"Soepen, sauzen, kruiden, olie",Garnering,Slaversierders,Salade croutons,NA,NA,425,63,4.5,NA,14,1.7,11,9.6,4.4,1.03
Maggi Jus stamppot juspoeder,0.75,NA,"Pasta, rijst en wereldkeuken",Hollandse keuken,Jus,Jus stamppot,NA,NA,420,48.8,3.3,NA,19.3,11.6,NA,11.9,1.9,13.2
Maggi Jus tuinkruiden juspoeder,0.79,NA,"Pasta, rijst en wereldkeuken",Hollandse keuken,Jus,Jus tuinkruiden,NA,NA,333,53.3,5.7,NA,6.9,4.1,NA,13.5,1.6,18.7
Maggi Jus uitjes juspoeder,0.69,NA,"Pasta, rijst en wereldkeuken",Hollandse keuken,Jus,Jus uitjes,NA,NA,328,64.2,12.7,NA,3.5,1.9,NA,9,1.5,15.6
Maggi Vleesjus,0.79,NA,"Pasta, rijst en wereldkeuken",Hollandse keuken,Jus,Jus rundvlees,NA,NA,330,53.3,2.5,NA,5.3,3,NA,16.9,0.7,18.5
Honig Basis voor Engelse ossenstaartsoep,1.99,NA,"Soepen, sauzen, kruiden, olie",Soepen,Soep (zelf bereiden),Ossenstaartsoep (zelf bereiden),NA,NA,343,61,3.7,NA,5.5,2.6,NA,9.6,3.5,12.3
Sourcy Vitaminwater braam bosbes,1.69,NA,"Frisdrank, sappen, siropen, water","Water met smaak, vitamine water",Vitamine water,NA,NA,NA,1,0,0,NA,0,0,NA,0,NA,0.01
Robijn Wasverzachter passiebloem & bergamot,5.79,NA,Huishouden,"Wasmiddelen, wasverzachters",Wasverzachters,Wasverzachters - geconcentreerd,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lavazza Espresso Italiano classico bonen,9.39,NA,"Koffie, thee",Koffie,Koffiebonen,Koffiebonen (krachtig),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kips Roompaté,2.19,NA,"Kaas, vleeswaren, tapas",Vleeswaren,Vleeswaren voorverpakt,Pate (voorverpakt),NA,NA,308,3.7,1,NA,29,10.2,NA,8,NA,1.98
Pickwick Dutch zwarte thee,1.89,NA,"Koffie, thee",Thee,Zwarte thee,Zwarte thee eenkops,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Café Intención Crema aromatico bonen,9.99,NA,"Koffie, thee",Koffie,Koffiebonen,Koffiebonen (regular),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AH Taco saus hot,1.09,NA,"Pasta, rijst en wereldkeuken",Mexicaanse keuken,Mexicaanse sauzen,NA,NA,NA,47,9.5,5,NA,0.2,0.1,0.1,1,1.5,1.7
Healthy people Cranberry,2.99,2.09,"Frisdrank, sappen, siropen, water",Vruchtensappen en fruitdrank,Cranberrysap & drank,NA,NA,NA,53,12.4,12,NA,0,0,NA,0.14,0.05,0.005
Fa Mystic moments deodorant spray,4.29,NA,Drogisterij,Lichaamsverzorging,Deodorant,Deodorant vrouwen,Deospray vrouwen,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Knorr Mix voor boerenomelet,1.85,NA,"Pasta, rijst en wereldkeuken",Hollandse keuken,Nederlandse mixen,NA,NA,NA,104,3.5,3.4,NA,6.9,1.6,NA,6.4,1.2,0.61
AH Biologisch Cashewnoten ongezouten,4.29,NA,"Chips, noten, toast, popcorn",Noten,Cashewnoten,NA,NA,NA,622,22,6,NA,50,9.4,40,19,3.9,0
AH Biologisch Cashewnoten gezouten,4.29,NA,"Chips, noten, toast, popcorn",Noten,Cashewnoten,NA,NA,NA,613,22,6,NA,49,9.4,40,19,3.8,0.68
LU Mini crackers tomaat & basilicum,2.19,NA,Bakkerij,Crackers,Toast-crackers,NA,NA,NA,434,66,2.4,NA,13,5.2,NA,11,3.8,3.11
Van Gilse Bruine kandij fijn,2.65,NA,"Pasta, rijst en wereldkeuken",Bakbenodigdheden,Suiker,Kristalsuiker,NA,NA,400,100,100,NA,0,0,NA,0,NA,0
Calvé Schaschlik saus,1.99,NA,"Soepen, sauzen, kruiden, olie",Sauzen,BBQ sauzen,NA,NA,NA,101,20,16,NA,1.5,0.1,NA,1.3,0.7,2
"Advil Reliva Liquid-Caps 200mg Ibuprofen, 10st",4.99,NA,Gezondheid,Zelfzorg,Pijnstillers,"Ibuprofen, nurofen",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fluimucil Bruistablet,7.89,NA,Gezondheid,Zelfzorg,"Verkoudheid, hoesten",Keel,Keeltabletten,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
